id,status,slug,title,sku,regular_price,sale_price,price,stock_status,categories
1029,trash,solid-perfume-acrylic-jar-angel-15ml__trashed,* ANGEL Solid Perfume - 15ml (*was R150),,75,,75,instock,CLEARANCE SALE
1001,trash,solid-perfume-acrylic-jar-white-diamonds-15ml-2__trashed,* TABU Solid Perfume - 15ml (*was R150*),,75,,75,instock,CLEARANCE SALE
1179,publish,acne-control-serum-100ml,Acne Control Serum - 100ml,,1050,,1050,instock,ACNE CONTROL Products; HEALTH SERUMS
1177,publish,acne-control-serum-10ml,Acne Control Serum - 10ml,,140,,140,instock,ACNE CONTROL Products; HEALTH SERUMS
1292,publish,acne-control-skin-cream-100g,Acne Control Skin Cream - 100g,,180,,180,instock,ACNE CONTROL Products
13066,publish,acne-control-skin-cream-250g,Acne Control Skin Cream - 250g,,390,,390,instock,ACNE CONTROL Products
1289,publish,acne-control-skin-cream-500g,Acne Control Skin Cream - 500g,,660,,660,instock,ACNE CONTROL Products
1287,publish,acne-control-soap-100g,Acne Control Soap - 100g,,65,,65,instock,ACNE CONTROL Products; OTHER SOAP BARS
6775,publish,acne-control-soap-bar-50g,Acne Control Soap Bar - 50g,,40,,40,instock,ACNE CONTROL Products; OTHER SOAP BARS
5176,publish,african-black-soap-100g,African Black Soap Bar - 100g,,65,,65,instock,ACNE CONTROL Products; CHARCOAL Products; OTHER SOAP BARS
13460,publish,african-black-soap-bar-50g,African Black Soap Bar - 50g,,40,,40,instock,ACNE CONTROL Products; CHARCOAL Products; OTHER SOAP BARS
1199,publish,andropause-serum-100ml,Andropause Serum - 100ml,,1650,,1650,instock,HEALTH SERUMS; OTHER NATURAL PRODUCTS
1202,publish,andropause-serum-10ml,Andropause Serum - 10ml,,220,,220,instock,HEALTH SERUMS; OTHER NATURAL PRODUCTS
1110,publish,andropause-soap-bar-100g,Andropause Soap Bar - 100g,,65,,65,instock,OTHER NATURAL PRODUCTS; OTHER SOAP BARS
1247,publish,anti-bacterial-soap-bar,Anti-Bacterial Soap Bar - 100g,,65,,65,instock,OTHER NATURAL PRODUCTS
13361,publish,anti-cancer-serum-100ml-2,Anti-Cancer Serum - 100ml,,1050,,1050,instock,HEALTH SERUMS; OTHER NATURAL PRODUCTS
1171,publish,anti-cancer-serum-10ml,Anti-Cancer Serum - 10ml,,140,,140,instock,HEALTH SERUMS; OTHER NATURAL PRODUCTS
1168,publish,anti-depressant-serum-100ml,Anti-Depressant Serum - 100ml (was R1050),,525,,525,instock,CLEARANCE SALE
1170,publish,anti-depressant-serum-10ml,Anti-Depressant Serum - 10ml (was R140),,70,,70,instock,CLEARANCE SALE
14337,publish,anxiety-stress-combo-1,Anxiety-Stress Combo 1,,1310.00,950,950,instock,HEALTH &amp; DETOX Products
14340,publish,anxiety-stress-combo-2,Anxiety-Stress Combo 2,,1310.00,950,950,instock,HEALTH &amp; DETOX Products
7579,publish,aphro-d-50-serum-100ml,Aphro-D 50+ Serum - 100ml,,1650,,1650,instock,HEALTH SERUMS
7573,publish,aphro-d-50-serum-10ml,Aphro-D 50+ Serum - 10ml,,220,,220,instock,HEALTH SERUMS
13462,publish,aphro-d-50-soap-bar-100g,Aphro-D 50+ Soap Bar - 100g,,65.00,,65.00,instock,OTHER NATURAL PRODUCTS; OTHER SOAP BARS
769,publish,argan-anti-ageing-day-night-cream-100g,Argan Anti-Ageing Day-Night Cream - 100g,,280,,280,instock,ARGAN OIL Products
13277,publish,argan-anti-ageing-day-night-cream-250g,Argan Anti-Ageing Day-Night Cream - 250g,,600,,600,instock,ARGAN OIL Products
770,publish,argan-anti-ageing-day-night-cream-500g,Argan Anti-Ageing Day-Night Cream - 500g,,1125,,1125,instock,ARGAN OIL Products
767,publish,argan-anti-ageing-day-night-cream-50g,Argan Anti-Ageing Day-Night Cream - 50g,,180,,180,instock,ARGAN OIL Products
765,publish,argan-anti-ageing-soap-bar-100g,Argan Anti-Ageing Soap Bar - 100g,,65,,65,instock,ARGAN OIL Products; OTHER SOAP BARS
6742,publish,argan-anti-ageing-soap-bar-50g,Argan Anti-Ageing Soap Bar - 50g,,40,,40,instock,ARGAN OIL Products; OTHER SOAP BARS
763,publish,argan-oil-100-moroccan-100ml,Argan Oil (100% pure) - 100ml,,330,,330,instock,ARGAN OIL Products
761,publish,argan-oil-100-moroccan-10ml,Argan Oil (100% pure) - 10ml,,80,,80,instock,ARGAN OIL Products
1167,publish,arthritis-serum-100ml,Arthritis Serum - 100ml,,1050,,1050,instock,HEALTH SERUMS
1165,publish,arthritis-serum-10ml,Arthritis Serum - 10ml,,140,,140,instock,HEALTH SERUMS
11353,publish,ashwaganda-capsules-600mg-10s,"Ashwaganda 600mg ""Vegan"" Capsules 10's",,35.00,,35.00,instock,HEALTH &amp; DETOX Products
11352,publish,ashwaganda-capsules-600mg-60s,"Ashwaganda 600mg ""Vegan"" Capsules 60's",,160.00,120,160.00,instock,HEALTH &amp; DETOX Products
1162,publish,asthma-serum-100ml,Asthma Serum - 100ml,,1440,,1440,instock,HEALTH SERUMS
1164,publish,asthma-serum-10ml,Asthma Serum - 10ml,,180,140,140,instock,HEALTH SERUMS
1174,publish,adhd-serum-100ml,"B-Focused Serum - 100ml [previously known as ""ADHD Serum""]",,1650,,1650,instock,HEALTH SERUMS
1176,publish,adhd-serum-10ml,"B-Focused Serum - 10ml [previously known as ""ADHD Serum""]",,220,,220,instock,HEALTH SERUMS
1112,publish,adhd-soap-bar-100g,"B-Focused Soap Bar - 100g [previously known as ""ADHD Soap Bar""]",,65,,65,instock,OTHER NATURAL PRODUCTS; OTHER SOAP BARS
13463,publish,b-focused-soap-bar-50g,B-Focused Soap Bar - 50g,,40.00,,40.00,instock,OTHER NATURAL PRODUCTS; OTHER SOAP BARS
1264,publish,b-fresh-foot-powder-250g,B-Fresh Foot Powder - 220g,,120,,120,instock,OTHER NATURAL PRODUCTS
11011,publish,bee-pink-cleansing-milk-100ml,BEE-Pink Cleansing Milk - 100ml,,110,,110,instock,BEE-Pink Products
11015,publish,bee-pink-cleansing-milk-500ml-refill,BEE-Pink Cleansing Milk - 500ml Refill,,400,,400,instock,BEE-Pink Products
720,publish,bee-pink-body-cream-100g,BEE-Pink Cream - 100g,,160,,160,instock,BEE-Pink Products
11670,publish,bee-pink-cream-250g,BEE-Pink Cream - 250g,,330,,330,instock,BEE-Pink Products
722,publish,bee-pink-body-cream-500g,BEE-Pink Cream - 500g,,430,,430,instock,BEE-Pink Products
2845,publish,bee-pink-body-cream-50g,BEE-Pink Cream - 50g,,90,,90,instock,BEE-Pink Products
723,publish,bee-pink-soap-bar-100g,BEE-Pink Soap Bar - 100g,,65,,65,instock,BEE-Pink Products; OTHER SOAP BARS
6759,publish,bee-pink-soap-bar-50g,BEE-Pink Soap Bar - 50g,,40,,40,instock,BEE-Pink Products; OTHER SOAP BARS
11575,publish,bay-leaf-powder-capsules-600mg-10s,"Bay Leaf Powder 600mg ""Vegan"" Capsules - 10's",,25,,25,instock,HEALTH &amp; DETOX Products
11578,publish,bay-leaf-powder-capsules-600mg-120s,"Bay Leaf Powder 600mg ""Vegan"" Capsules - 120's",,160,,160,instock,HEALTH &amp; DETOX Products
12138,publish,bayleaf-neroli-glycerine-soap-bar-100g,BayLeaf-Neroli Glycerine Soap Bar - 100g,,65,,65,instock,NEROLI Anti-Ageing; OTHER SOAP BARS
12141,publish,bayleaf-neroli-glycerine-soap-bar-50g,BayLeaf-Neroli Glycerine Soap Bar - 50g,,40,,40,instock,NEROLI Anti-Ageing; OTHER SOAP BARS
12359,publish,bayleaf-neroli-oil-100ml,BayLeaf-Neroli Serum - 100ml,,1650,,1650,instock,HEALTH SERUMS; NEROLI Anti-Ageing
12358,publish,bayleaf-neroli-oil-10ml,BayLeaf-Neroli Serum - 10ml,,220,,220,instock,HEALTH SERUMS; NEROLI Anti-Ageing
1413,publish,beard-oil-100ml,Beard Oil - 100ml,,1050,,1050,instock,HEALTH SERUMS
1411,publish,beard-oil-10ml,Beard Oil - 10ml,,140,,140,instock,HEALTH SERUMS
13464,publish,beard-oil-soap-bar-100g,Beard Oil Soap Bar - 100g,,65,,65,instock,OTHER NATURAL PRODUCTS; OTHER SOAP BARS
811,publish,beeswax-bulbinella-cream-100g,Beeswax Bulbinella Cream - 100g,,190,,190,instock,BULBINELLA Products
10785,publish,beeswax-bulbinella-cream-250g,Beeswax Bulbinella Cream - 250g,,390,,390,instock,BULBINELLA Products
813,publish,beeswax-bulbinella-cream-500g,Beeswax Bulbinella Cream - 500ml,,520,,520,instock,BULBINELLA Products
1219,publish,beeswax-lip-balm-bubblegum-20g,Beeswax Lip Balm Bubblegum - 20g,,40,,40,instock,OTHER NATURAL PRODUCTS
1221,publish,beeswax-lip-balm-cherry-20g,Beeswax Lip Balm Cherry - 20g,,40,,40,instock,OTHER NATURAL PRODUCTS
1217,publish,beeswax-lip-balm-coconut-lime-20g,Beeswax Lip Balm Coconut-Lime - 20g,,40,,40,instock,OTHER NATURAL PRODUCTS
1312,publish,beeswax-lip-balm-marshmallow-20g,Beeswax Lip Balm Marshmallow 20g,,40,,40,instock,OTHER NATURAL PRODUCTS
1213,publish,beeswax-lip-balm-unfragranced-20g,Beeswax Lip Balm Unfragranced - 20g,,40,,40,instock,OTHER NATURAL PRODUCTS
1215,publish,beeswax-lip-balm-vanilla-20g,Beeswax Lip Balm Vanilla - 20g,,40,,40,instock,OTHER NATURAL PRODUCTS
10398,publish,belly-fat-navel-oil-100ml,Belly Fat Navel Oil - 100ml,,1440,,1440,instock,HEALTH SERUMS; WEIGHT LOSS Products
10396,publish,belly-fat-navel-oil-10ml,Belly Fat Navel Oil - 10ml,,180,,180,instock,HEALTH SERUMS; WEIGHT LOSS Products
