term_id,name,slug,count,parent
52,BULBINELLA Products,bulbinella,17,0
78,Honey-BEE Anti-Ageing,honey-bee-anti-ageing,10,0
54,CANNAB!S Skin Care,cannabs-skin-care,30,0
55,COLLAGEN Anti-Ageing,natural-collagen-anti-ageing,15,0
56,ARGAN OIL Products,argan-oil-products,18,0
57,ABSOLUTE Anti-Ageing,absolute-anti-ageing,20,0
58,BEE-Flawless #plooiloos,bee-flawless,8,0
59,CHARCOAL Products,charcoal-products,15,0
60,BEE-Pink Products,bee-pink-products,8,0
61,MYRRH Anti-Ageing,myrrh-anti-ageing,20,0
62,LOTUS Anti-Ageing,lotus-anti-ageing,15,0
63,NEROLI Anti-Ageing,neroli-anti-ageing,19,0
64,WEIGHT LOSS Products,weight-loss,26,0
65,CORTISOL REDUCING (C.R.) Products,cortisol-reducing-c-r,9,0
66,HEALTH & DETOX Products,detox-health,50,0
67,CELLULITE Products,cellulite,16,0
68,ACNE CONTROL Products,acne-control,16,0
69,OTHER NATURAL PRODUCTS,other-natural-products,72,0
70,Bulbi BABY Products,bulbi-baby,9,0
71,HEALTH SERUMS,health-serums,72,0
72,OTHER SOAP BARS,other-soap-bars,86,0
74,Uncategorized,uncategorized,0,0
77,VITAMIN-E Anti-Ageing,vitamin-e-anti-ageing,8,0
79,SAFFRON Anti-Ageing,saffron-anti-ageing,10,0
82,COFFEE Products,coffee-products,6,0
85,SPEKBOOM Anti-Ageing & Beauty,spekboom-anti-ageing-beauty,12,0
84,ROYAL JELLY Products,royal-jelly-products,8,0
87,CLEARANCE SALE,clearance-sale,11,0
88,SHILAJIT Products,shilajit-products,7,0
89,MASTIC GUM Products,mastic-gum-products,15,0
90,NEW Products,new-products,14,0
