slug,title,field,matched_term,snippet
sunscreen-spf-40-50g,Sunscreen SPF 40 - 50g,excerpt,eczema,proof. Can be used as day-night cream. Acne; Eczema; AntiAgeing
sunscreen-spf-40-100g,Sunscreen SPF 40 - 100g,excerpt,eczema,proof. Can be used as day-night cream. Acne; Eczema; AntiAgeing
anti-bacterial-soap-bar,Anti-Bacterial Soap Bar - 100g,title,bacteria,Anti-Bacterial Soap Bar - 100g
andropause-serum-10ml,Andropause Serum - 10ml,title,andropause,Andropause Serum - 10ml
andropause-serum-100ml,Andropause Serum - 100ml,title,andropause,Andropause Serum - 100ml
eczema-serum-10ml,Eczema Serum - 10ml,title,eczema,Eczema Serum - 10ml
eczema-serum-100ml,Eczema Serum - 100ml,title,eczema,Eczema Serum - 100ml
asthma-serum-100ml,Asthma Serum - 100ml,title,asthma,Asthma Serum - 100ml
asthma-serum-10ml,Asthma Serum - 10ml,title,asthma,Asthma Serum - 10ml
arthritis-serum-10ml,Arthritis Serum - 10ml,title,arthrit,Arthritis Serum - 10ml
arthritis-serum-100ml,Arthritis Serum - 100ml,title,arthrit,Arthritis Serum - 100ml
anti-depressant-serum-100ml,Anti-Depressant Serum - 100ml (was R1050),title,depress,Anti-Depressant Serum - 100ml (was R1050)
anti-depressant-serum-10ml,Anti-Depressant Serum - 10ml (was R140),title,depress,Anti-Depressant Serum - 10ml (was R140)
anti-cancer-serum-10ml,Anti-Cancer Serum - 10ml,title,cancer,Anti-Cancer Serum - 10ml
menopause-serum-10ml,Menopause Serum - 10ml,title,menopause,Menopause Serum - 10ml
menopause-serum-100ml,Menopause Serum - 100ml,title,menopause,Menopause Serum - 100ml
andropause-soap-bar-100g,Andropause Soap Bar - 100g,title,andropause,Andropause Soap Bar - 100g
eczema-soap-bar-100g,Eczema Soap Bar - 100g,title,eczema,Eczema Soap Bar - 100g
anti-cancer-serum-100ml-2,Anti-Cancer Serum - 100ml,title,cancer,Anti-Cancer Serum - 100ml
menopause-soap-bar-100g,Menopause Soap Bar - 100g,title,menopause,Menopause Soap Bar - 100g
myrrh-anti-ageing-night-cream-500g,Myrrh Anti-Ageing Night Cream - 500g,excerpt,\btreats?\b,To treat and prevent signs of ageing. Also for treatm
myrrh-anti-ageing-night-cream-500g,Myrrh Anti-Ageing Night Cream - 500g,excerpt,\btreatment\b,"treat and prevent signs of ageing. Also for treatment of acne, pimples & black heads. Natural SPF"
myrrh-anti-ageing-night-cream-500g,Myrrh Anti-Ageing Night Cream - 500g,excerpt,\bprevents?\b,"To treat and prevent signs of ageing. Also for treatment of acne,"
myrrh-anti-ageing-night-cream-100g,Myrrh Anti-Ageing Night Cream - 100g,excerpt,\btreats?\b,To treat and prevent signs of ageing. Also for treatm
myrrh-anti-ageing-night-cream-100g,Myrrh Anti-Ageing Night Cream - 100g,excerpt,\btreatment\b,"treat and prevent signs of ageing. Also for treatment of acne, pimples & black heads. Natural SPF"
myrrh-anti-ageing-night-cream-100g,Myrrh Anti-Ageing Night Cream - 100g,excerpt,\bprevents?\b,"To treat and prevent signs of ageing. Also for treatment of acne,"
myrrh-anti-ageing-day-cream-500g,Myrrh Anti-Ageing Day Cream - 500g,excerpt,\btreats?\b,To treat and prevent signs of ageing. Also for treatm
myrrh-anti-ageing-day-cream-500g,Myrrh Anti-Ageing Day Cream - 500g,excerpt,\btreatment\b,"treat and prevent signs of ageing. Also for treatment of acne, pimples & black heads. Natural SPF"
myrrh-anti-ageing-day-cream-500g,Myrrh Anti-Ageing Day Cream - 500g,excerpt,\bprevents?\b,"To treat and prevent signs of ageing. Also for treatment of acne,"
myrrh-anti-ageing-day-cream-100g,Myrrh Anti-Ageing Day Cream - 100g,excerpt,\btreats?\b,To treat and prevent signs of ageing. Also for treatm
myrrh-anti-ageing-day-cream-100g,Myrrh Anti-Ageing Day Cream - 100g,excerpt,\btreatment\b,"treat and prevent signs of ageing. Also for treatment of acne, pimples & black heads. Natural SPF"
myrrh-anti-ageing-day-cream-100g,Myrrh Anti-Ageing Day Cream - 100g,excerpt,\bprevents?\b,"To treat and prevent signs of ageing. Also for treatment of acne,"
